trial_index,loss,blaze_angle_deg,anti_blaze_angle_deg,top_cap_thickness_nm
0,0.0009762427955638407,0.6396311894059181,5.170932203531265,1.024549847841263
1,0.003396080075486235,0.9845458030700683,5.711494917050004,0.8428808652795852
2,0.006252704056149512,1.0953843771480023,5.296270636841655,1.051586415618658
3,0.00018232694332594239,0.7504695985466241,5.836896297521889,0.5301822564564646
4,0.0002418247682428497,0.7813434237614274,5.3784932335838675,0.7446229408495129
5,0.007536962962160307,1.1254892428405583,5.98831744119525,0.9259528007358313
6,0.0003522580742707723,0.7571495049250992,6.0,1.2
7,0.0001388516375539252,0.76219180618127,5.0,0.5
8,0.0024093243429671504,0.5,6.0,0.5
9,0.00015123269842980217,0.7700009929850455,5.0,0.5
10,0.00013848373074220729,0.7545982414870506,5.0,0.5
11,0.00014639026171454957,0.7543539310737511,5.170889393955972,0.5
12,0.00013828327810003053,0.7572899972023024,5.0,0.5
13,0.00013846484823287205,0.7547700180062814,5.0,0.5
14,0.00013827037829748046,0.7556047574763232,5.0,0.5
15,0.00022691277020228673,0.7767196176746799,6.0,0.5
16,0.000138225674926115,0.7576963990138023,5.0,0.5
17,0.00013820995366657928,0.7577184729149105,5.0,0.5
18,0.0001514891439305293,0.7559706434696966,5.0,0.5709110117003967
19,0.00016361783343804554,0.7542685320395014,5.0,0.6288626540554653
20,0.0001448288183434996,0.7566851050147607,5.0,0.5362199675810153
21,0.009553916531613062,1.2,5.0,0.5
22,0.00013832877521141078,0.7564855050244198,5.0,0.5
23,0.009464429736565406,1.2,5.0,0.9082314810993185
24,0.000138962043352884,0.7526307053016121,5.0,0.5
25,0.00013840187247501863,0.7531453431526295,5.0,0.5
26,0.00013852001625153722,0.7545051525470803,5.0,0.5
27,0.00013830221991194285,0.7564523980443777,5.0,0.5
28,0.0001383189768297917,0.7562757799515106,5.0,0.5
29,0.00013828520904218618,0.7566905065996801,5.0,0.5
30,0.00013827037829748046,0.7556020807664542,5.0,0.5
31,0.00013829645842638953,0.7570757357169313,5.0,0.5
32,0.00013828356681244873,0.7570644130128645,5.0,0.5
