energy_ev,selected_grazing_angle_deg,order,efficiency,diffraction_angle_deg,retry_triggered,retry_attempts,retry_status,selected_efficiency_is_exact_zero,selected_efficiency_below_retry_threshold,theta_tracking_center_mode,theta_tracking_auto_classification,theta_tracking_previous_energy_ev,theta_tracking_previous_grazing_angle_deg,theta_tracking_used_previous_theta,theta_tracking_bragg_fallback_triggered,theta_tracking_continuity_rejected,precise_peak_selection_mode_requested,precise_peak_selection_mode_used,precise_peak_fit_fallback_used,precise_peak_fitted_center_deg,precise_peak_fitted_fwhm_deg
500.0,14.184143802091643,-15,1.2524251701504585e-08,28.32775432336245,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.184143802091643,0.2913012351952036
500.0,14.184143802091643,-14,4.3072480056593544e-09,27.60061084801263,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.184143802091643,0.2913012351952036
500.0,14.184143802091643,-13,6.281635467453237e-09,26.855369857508833,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.184143802091643,0.2913012351952036
500.0,14.184143802091643,-12,3.436235593516277e-08,26.090472413789186,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.184143802091643,0.2913012351952036
500.0,14.184143802091643,-11,1.4853036645408547e-08,25.304127670490544,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.184143802091643,0.2913012351952036
500.0,14.184143802091643,-10,1.7965802611694134e-08,24.494261551654773,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.184143802091643,0.2913012351952036
500.0,14.184143802091643,-9,1.4212266407193664e-07,23.65844984639351,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.184143802091643,0.2913012351952036
500.0,14.184143802091643,-8,6.434455096770599e-08,22.79382951547919,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.184143802091643,0.2913012351952036
500.0,14.184143802091643,-7,1.1442071143244437e-07,21.89697885747998,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.184143802091643,0.2913012351952036
500.0,14.184143802091643,-6,1.0751667628497098e-06,20.96375203260513,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.184143802091643,0.2913012351952036
500.0,14.184143802091643,-5,6.179469061339143e-07,19.98904471540787,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.184143802091643,0.2913012351952036
500.0,14.184143802091643,-4,4.477939231301851e-06,18.966452234726844,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.184143802091643,0.2913012351952036
500.0,14.184143802091643,-3,0.00017062301101008334,17.887752985834425,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.184143802091643,0.2913012351952036
500.0,14.184143802091643,-2,0.009160280063708138,16.74209376581061,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.184143802091643,0.2913012351952036
500.0,14.184143802091643,-1,7.47208729565277e-05,15.514635325830469,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.184143802091643,0.2913012351952036
500.0,14.184143802091643,0,1.2704003566585567e-05,14.18414380209164,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.184143802091643,0.2913012351952036
500.0,14.184143802091643,1,5.6734528762820124e-08,12.71830950312544,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.184143802091643,0.2913012351952036
500.0,14.184143802091643,2,1.7639314226038847e-05,11.063449307127101,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.184143802091643,0.2913012351952036
500.0,14.184143802091643,3,5.99363890720682e-05,9.11718694729609,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.184143802091643,0.2913012351952036
500.0,14.184143802091643,4,7.289876825678071e-05,6.627562288578247,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.184143802091643,0.2913012351952036
500.0,14.184143802091643,5,2.9131745388572964e-05,2.1918004289104687,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.184143802091643,0.2913012351952036
